,ANO_BO,BO_INICIADO,BO_EMITIDO,DATAOCORRENCIA,HORAOCORRENCIA,PERIDOOCORRENCIA,DATACOMUNICACAO,DATAELABORACAO,FLAGRANTE,LOGRADOURO,NUMERO,CIDADE,UF,LATITUDE,LONGITUDE,DESCRICAOLOCAL,SOLUCAO,DELEGACIA_NOME,DELEGACIA_CIRCUNSCRICAO,ESPECIE,RUBRICA,STATUS,geometry
26,2021,2021-01-01 02:30:36,2021-01-01 05:16:02,01/01/2021,00:50:00,DE MADRUGADA,2021-01-01 00:00:00,2021-01-01 02:30:36,Sim,RUA São felipe Neri,18.0,S.PAULO,SP,-23.4355090604683,-46.5752803001648,Via pública,BO PARA FLAGRANTE,73º D.P. JACANA,73º D.P. JACANA,Ato infracional,A.I.-Roubo (art. 157) - VEICULO,Consumado,POINT (-46.5752803001648 -23.4355090604683)
28,2021,2021-01-01 02:30:36,2021-01-01 05:16:02,01/01/2021,00:50:00,DE MADRUGADA,2021-01-01 00:00:00,2021-01-01 02:30:36,Sim,RUA São felipe Neri,18.0,S.PAULO,SP,-23.4355090604683,-46.5752803001648,Via pública,BO PARA FLAGRANTE,73º D.P. JACANA,73º D.P. JACANA,L 8069/90 - ECA,Caput Corromper ou facilitar a corrupção de menor de 18 anos (244B),Consumado,POINT (-46.5752803001648 -23.4355090604683)
30,2021,2021-01-01 02:30:36,2021-01-01 05:16:02,01/01/2021,00:50:00,DE MADRUGADA,2021-01-01 00:00:00,2021-01-01 02:30:36,Sim,RUA São felipe Neri,18.0,S.PAULO,SP,-23.4355090604683,-46.5752803001648,Via pública,BO PARA FLAGRANTE,73º D.P. JACANA,73º D.P. JACANA,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - VEICULO,Consumado,POINT (-46.5752803001648 -23.4355090604683)
33,2021,2021-01-01 03:09:19,2021-01-01 05:51:38,01/01/2021,02:30:00,DE MADRUGADA,2021-01-01 00:00:00,2021-01-01 03:09:19,Sim,PRAÇA JANDAIRA,10.0,S.PAULO,SP,-23.528139391,-46.465069177,Via pública,BO PARA FLAGRANTE,24º D.P. PONTE RASA,64º D.P. CID.AE CARVALHO,Localização e/ou Devolução,Localização/Apreensão de objeto,Consumado,POINT (-46.465069177 -23.528139391)
35,2021,2021-01-01 03:09:19,2021-01-01 05:51:38,01/01/2021,02:30:00,DE MADRUGADA,2021-01-01 00:00:00,2021-01-01 03:09:19,Sim,PRAÇA JANDAIRA,10.0,S.PAULO,SP,-23.528139391,-46.465069177,Via pública,BO PARA FLAGRANTE,24º D.P. PONTE RASA,64º D.P. CID.AE CARVALHO,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,POINT (-46.465069177 -23.528139391)
37,2021,2021-01-01 03:09:19,2021-01-01 05:51:38,01/01/2021,02:30:00,DE MADRUGADA,2021-01-01 00:00:00,2021-01-01 03:09:19,Sim,PRAÇA JANDAIRA,10.0,S.PAULO,SP,-23.528139391,-46.465069177,Via pública,BO PARA FLAGRANTE,24º D.P. PONTE RASA,64º D.P. CID.AE CARVALHO,Título II - Patrimônio (arts. 155 a 183),Receptação (art. 180) - OUTROS,Consumado,POINT (-46.465069177 -23.528139391)
39,2021,2021-01-01 03:09:19,2021-01-01 05:51:38,01/01/2021,02:30:00,DE MADRUGADA,2021-01-01 00:00:00,2021-01-01 03:09:19,Sim,PRAÇA JANDAIRA,10.0,S.PAULO,SP,-23.528139391,-46.465069177,Via pública,BO PARA FLAGRANTE,24º D.P. PONTE RASA,64º D.P. CID.AE CARVALHO,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - VEICULO,Consumado,POINT (-46.465069177 -23.528139391)
48,2021,2021-01-01 04:29:28,2021-01-01 07:57:21,01/01/2021,04:00:00,DE MADRUGADA,2021-01-01 00:00:00,2021-01-01 04:29:28,Não,RUA MANOEL NASCIMENTO PINTO,10.0,S.PAULO,SP,-23.4623690080342,-46.6884790928977,Via pública,ENCAMINHAMENTO DP ÁREA DO FATO,72º D.P. VILA PENTEADO,45º D.P. V BRASILANDIA,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,POINT (-46.6884790928977 -23.4623690080342)
50,2021,2021-01-01 04:29:28,2021-01-01 07:57:21,01/01/2021,04:00:00,DE MADRUGADA,2021-01-01 00:00:00,2021-01-01 04:29:28,Não,RUA MANOEL NASCIMENTO PINTO,10.0,S.PAULO,SP,-23.4623690080342,-46.6884790928977,Via pública,ENCAMINHAMENTO DP ÁREA DO FATO,72º D.P. VILA PENTEADO,45º D.P. V BRASILANDIA,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - VEICULO,Consumado,POINT (-46.6884790928977 -23.4623690080342)
120,2021,2021-01-01 15:09:51,2021-01-01 17:21:50,31/12/2020,18:45:00,A NOITE,2021-01-01 00:00:00,2021-01-01 15:09:51,Não,RUA DAS AROEIRAS,238.0,S.PAULO,SP,-23.6374933062186,-46.6495889514535,Via pública,ENCAMINHAMENTO DP ÁREA DO FATO,16º D.P. VILA CLEMENTINO,35º D.P. JABAQUARA,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,POINT (-46.6495889514535 -23.6374933062186)
